masked_dep_acct_num,masked_bank_num,masked_account_type,masked_id,masked_product_code,bucket_days_since_open,number_of_owners,total_deposit_amount,item_amt,deposit_dt,channel,relationship_balance,oao_flg,onus_ind,treasury_check_ind,heloc_ind,rdis,max_deposit_amount30d,total_deposit_item_count,prevtran1,prevtran2,prevtran3,prevtran4,prevtran5,prevtran6,prevtran7,prevtran8,prevtran9,prevtran10,prevtrandate1,prevtrandate2,prevtrandate3,prevtrandate4,prevtrandate5,prevtrandate6,prevtrandate7,prevtrandate8,prevtrandate9,prevtrandate10,drawee_sum,drawee_cnt,drawee_avg,drawee_max,drawee_min,RDI_DT,RETURN_REASON,return_target,over_draft_amount,month_num
13111,0,0,29898,1,5000+,1,590.66,590.66,2024-11-03,TELLER,23061,N,F,N,N,2.0,590.66,1,1144.04,122.9,190.33,418.9,185.78,1376.37,154.73,551.3,381.2,105.17,1.0,5.0,15.0,21.0,29.0,50.0,66.0,67.0,68.0,83.0,650.6,1.0,650.6,650.6,650.6,2024-11-22,1.0,1,0,11
17756,0,0,19005,1,5000+,2,193.34,112.72,2024-08-07,TELLER,4052,N,F,N,N,,9703.49,1,259.28,289.15,330.58,466.23,517.84,1035.28,100.0,2090.09,491.24,1073.88,5.0,9.0,12.0,20.0,48.0,51.0,66.0,71.0,72.0,101.0,,,,,,,,0,0,8
5006,0,1,17931,1,5000+,1,440.45,440.45,2024-09-20,TELLER,2463,N,F,N,N,,440.45,1,265.06,1215.23,,,,,,,,,28.0,34.0,,,,,,,,,,,,,,,,0,0,9
9937,0,0,15669,1,5000+,1,2334.04,2334.04,2024-11-26,TELLER,337,N,F,N,N,2.0,17707.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11
5009,0,0,13198,1,5000+,2,1045.37,1045.37,2024-06-12,TELLER,6060,N,F,N,N,,1045.37,3,158.07,5220.16,704.43,,,,,,,,0.0,16.0,22.0,,,,,,,,,,,,,2024-06-15,1.0,1,0,6
47,0,0,13943,12,5000+,1,2943.42,1385.15,2024-09-09,TELLER,35892,N,F,N,N,1.0,16957.53,1,1773.72,140.81,707.64,3424.51,4788.55,1201.62,1160.3,2060.26,1651.96,126.5,7.0,15.0,18.0,45.0,51.0,65.0,66.0,73.0,86.0,100.0,,,,,,,,0,0,9
21017,0,0,11486,1,0-1000,1,588.14,356.36,2024-08-07,TELLER,36787,N,F,N,N,,518.31,1,136.91,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0,0,8
7402,2,0,1497,2,0-1000,2,282.24,107.3,2024-02-27,TELLER,19902,N,T,N,N,,186.06,1,100.0,697.53,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,0,0,2
17848,0,0,14802,2,0-1000,2,2081.59,1567.28,2024-04-09,TELLER,1738,N,F,N,N,3.0,1848.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-19,1.0,1,0,4
222,0,0,8648,1,5000+,1,227.91,227.91,2024-07-02,TELLER,26329,N,F,N,N,,5504.26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7
15894,0,2,19772,1,5000+,1,116.81,116.81,2024-06-11,TELLER,5845,N,F,Y,N,4.0,1477.97,1,294.71,169.57,489.43,100.0,100.0,,,,,,2.0,3.0,8.0,19.0,39.0,,,,,,445.2,1.0,445.2,445.2,445.2,2024-06-15,11.0,1,0,6
11356,0,0,20652,5,5000+,0,629.94,293.96,2024-02-28,TELLER,58359,N,T,N,N,,293.96,1,,,,,,,,,,,,,,,,,,,,,8539.48,2.0,4269.74,4727.54,3856.27,,,0,0,2
13960,0,0,1454,0,5000+,2,589.93,333.53,2024-10-14,TELLER,10852,N,F,N,N,7.0,1670.02,1,334.55,100.0,100.0,166.17,100.0,166.91,488.81,192.56,867.57,210.66,0.0,8.0,14.0,23.0,48.0,51.0,68.0,92.0,139.0,161.0,2244.1,1.0,2244.1,2244.1,2244.1,,,0,0,10
20143,0,0,18461,1,5000+,2,193.66,193.66,2024-04-13,TELLER,8329,N,F,N,N,,2159.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4
8305,0,0,23184,0,5000+,2,1071.7,749.35,2024-05-13,TELLER,32220,N,F,N,N,1.0,749.35,1,631.45,,,,,,,,,,14.0,,,,,,,,,,2443.27,1.0,2443.27,2443.27,2443.27,2024-05-14,1.0,1,0,5
16530,0,0,11240,1,5000+,1,9354.25,9354.25,2024-07-21,TELLER,41084,N,T,N,N,,9354.25,3,17599.38,829.73,1232.3,16308.75,373.71,1449.63,198.37,2533.61,535.39,3995.47,4.0,9.0,59.0,63.0,74.0,88.0,99.0,105.0,124.0,129.0,,,,,,2024-07-23,1.0,1,0,7
17428,0,0,14857,0,0-1000,1,16277.42,16277.42,2024-02-16,TELLER,46738,N,F,N,N,,16277.42,3,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-17,10.0,1,0,2
10613,0,0,26921,1,5000+,0,342.08,342.08,2024-03-05,TELLER,34402,N,F,N,N,2.0,4107.59,2,222.0,185.06,264.79,2247.72,283.13,157.44,100.0,,,,3.0,10.0,16.0,48.0,65.0,88.0,92.0,,,,1728.01,1.0,1728.01,1728.01,1728.01,,,0,0,3
22924,0,0,1679,1,0-1000,2,1883.0,779.43,2024-09-13,TELLER,11281,N,T,N,N,,779.43,1,251.33,3513.78,,,,,,,,,7.0,17.0,,,,,,,,,266.11,1.0,266.11,266.11,266.11,,,0,0,9
14163,0,0,27183,0,5000+,2,3089.95,2203.98,2024-06-06,TELLER,7482,N,F,N,N,0.0,2203.98,2,5646.42,6017.25,3172.82,470.37,2800.48,11818.6,1109.93,,,,28.0,77.0,83.0,89.0,115.0,117.0,124.0,,,,,,,,,2024-06-18,16.0,1,0,6
10301,0,0,22864,0,0-1000,1,100.56,100.01,2024-08-12,TELLER,9533,N,F,N,N,,885.67,1,349.46,100.0,281.0,,,,,,,,14.0,27.0,49.0,,,,,,,,,,,,,2024-08-20,1.0,1,0,8
824,0,0,30317,0,2000-5000,1,441.08,441.08,2024-07-07,TELLER,397,N,F,N,N,,2592.68,1,160.84,149.85,,,,,,,,,7.0,14.0,,,,,,,,,,,,,,,,0,0,7
11532,0,0,29346,0,5000+,2,1339.63,982.16,2024-08-15,TELLER,2499,N,F,N,N,,1218.92,1,1733.72,816.91,6347.98,2937.43,,,,,,,7.0,8.0,14.0,46.0,,,,,,,1510.59,3.0,503.53,617.74,410.44,2024-08-25,10.0,1,0,8
